study,location,latitude,longitude,date_start,date_end,mean_age_yrs,age_group,year_s,mid_date,prev
Djimde 2016,~11°24'N (11.4°)n8°12'W (8.2°),11.4,-8.2,2010-01-01,2011-12-31,NA,C,December 2010 to March 2011,2010-12-31,0.36958011984825134
Vanheer 2025,~12°22?N (12.37°)n~8°5?W (-8.08°),12.37,-8.08,2019-01-01,2019-12-31,NA,NA,2019,2019-07-02,0.18746496737003326
Getnet 2013,~12°48?N (12.80°)n~37°24?E (37.40°),12.8,37.4,2013-01-01,2013-12-31,NA,B,January to May 2013,2013-07-02,0.09688584506511688
Olivera 2019,~5°42?N (5.7°)n~76°39?W (-76.65°),5.7,-76.65,2018-01-01,2019-12-31,27.5,B,July 2018 to February 2019,2018-12-31,4.047428956255317e-4
Ippolito 2020,~9°18?S (-9.30°)n~28°42?E (28.70°),-9.3,28.7,2014-01-01,2015-12-31,NA,C,December 2014 to July 2015,2014-12-31,0.38007653857532303
Ladeia-Andrade 2016,07°37?S (-7.617°)n72°40?W (-72.667°),-7.617,-72.667,2010-01-01,2013-12-31,26.6,B,November 2010 to February 2013,2012-01-01,2.5942042702808976e-4
Tesfaye 2024,08°54?N (8.9°)n39°55?E (39.917°),8.9,39.917,2020-01-01,2021-12-31,17.7,B,November 2020 to March 2021,2020-12-31,0.028005382046103477
Vantaux 2020,13°44'N (13.73°)n106°59'E (106.98°),13.73,106.98,2015-01-01,2016-12-31,NA,NA,2015-2016,2016-01-01,0.00428128382191062
Rovira-Vallbona 2020,14°08'N (14.13°)n108°11'E (108.18°),14.13,108.18,2015-01-01,2017-12-31,NA,B,April 2015 to January 2017,2016-07-02,1.4312325220089406e-5
Lin  2017,"14°14'28.93""N (14.2413707°)n104°5'39.57""E (104.0943247°)",14.2,104.1,2012-01-01,2014-12-31,NA,A,December 2012  February 2014,2013-07-02,0.04383355379104614
Teklemariam 2015,14°17?N (14.283°)n36°37?E (36.617°),14.283,36.617,2014-01-01,2015-12-31,15.13,B,October 2014 to January 2015,2014-12-31,0.07119684666395187
Thriemer 2014,15°11'N (15.18°)n108°01'E (108.02°),15.18,108.02,2012-01-01,2013-12-31,NA,B,September 2012 to February 2013,2012-12-31,7.271927315741777e-4
Kyaw Myo Tun 2015,16°18'N (16.3°)n98°24'E (98.4°),16.3,98.4,2013-01-01,2015-12-31,NA,B,November 2013 to February 2015,2014-07-02,0.0034966953098773956
Carrara 2009,"16°43'0.01""N (16.71667°)n98°34'0.01""E (98.56667°)",0.01,16.71667,1995-01-01,2007-12-31,NA,B,January 1995 to December 2007,2001-07-02,0.47904086112976074
Yao 2023,"5°33'21.67""N (5.55602°)n0°11'48.84""W (0.1969°)",5.56,-0.19,2018-01-01,2018-12-31,NA,C,June to November 2018,2018-07-02,0.058820512145757675
Atroosh 2014,"Al-Mahwit Province:
~15°15?N (15.25°)n~43°43?E (43.72°)",15.25,43.72,2014-01-01,2014-12-31,12.4,B,March to May 2014,2014-07-02,0.0058800275437533855
Atroosh 2014,"Hodeidah Province:
~14°46?N (14.77°)n~43°15?E (43.25°)",14.77,43.25,2014-01-01,2014-12-31,12.4,B,March to May 2014,2014-07-02,0.012769685006787768
Myint 2014,"Muse (near China border):
23°42'N (23.7°)n97°51'E (97.85°)",23.7,97.85,2011-01-01,2014-12-31,NA,NA,"Period 1: 2011-2012
Muse studies: September 2011  September 2012
Tamu studies: June  October 2012

Period 2: 2014
Tabeikkyin studies: May  November 2014
Tamu study: May  November 2014",2012-12-31,0.006189680192619562
Myint 2014,"Tabeikkyin (central location):
22°27'N (22.45°)n95°57'E
(95.95°)",22.45,95.95,2011-01-01,2014-12-31,NA,NA,"Period 1: 2011-2012
Muse studies: September 2011  September 2012
Tamu studies: June  October 2012

Period 2: 2014
Tabeikkyin studies: May  November 2014
Tamu study: May  November 2014",2012-12-31,7.217978127300739e-4
Myint 2014,"Tamu (near India border):
 24°12'N (24.2°)n94°15'E (94.25°)",24.2,94.25,2011-01-01,2014-12-31,NA,NA,"Period 1: 2011-2012
Muse studies: September 2011  September 2012
Tamu studies: June  October 2012

Period 2: 2014
Tabeikkyin studies: May  November 2014
Tamu study: May  November 2014",2012-12-31,0.0036127937491983175
