Title,Study Identification ,Country,Setting,Study Period,Treatment Regimen,Sample Size,Age Range,Gender,Asexual Parasite Density,Sexual Parasite Density,Artemisinin Resistance Status,Sexual/asexual Ratio,Resistance Stratified Analysis,Gametocyte Carriage Rate,Follow-up Duration,Detection Method,Study Quality/Notes,Quality Scoring (Poor/Moderate/Good),Grading (/18),Justification 
"Artemether-lumefantrine-amodiaquine or artesunateamodiaquine combined with single low-dose primaquine to reduce Plasmodium falciparum malaria transmission in Ouélessébougou, Mali: a five-arm, phase 2, single-blind, randomised controlled trial",Almahamoudou 2023,Mali,"Ouélessébougou, Ouélessébougou Clinical Research Unit (rural, seasonal transmission)",October 2022 - December 2022,"- Artemether-Lumefantrine: 3 days
- Artemether-Lumefantrine-Amodiaquine: 3 days
- Artemether-Lumefantrine-Amodiaquine plus Primaquine (0.25 mg/kg): 3 days
- Artesunate-Amodiaquine: 3 days
- Artesunate-Amodiaquine plus Primaquine (0.25 mg/kg): 3 days","100 (98 completed day 2 follow-up, 96 completed all visits to day 28)",10-50 years,"49 males, 51 females","- Baseline: 
  - Artemether-lumefantrine: 37.9 (0.0-300.0) parasites/?L
  - Artemether-lumefantrine-amodiaquine: 0.0 (0.0-79.8) parasites/?L
  - Artemether-lumefantrine-amodiaquine plus primaquine: 0.0 (0.0-37.6) parasites/?L
  - Artesunate-amodiaquine: 0.0 (0.0-1654.9) parasites/?L
  - Artesunate-amodiaquine plus primaquine: 0.0 (0.0-720.0) parasites/?L
- Day 2: 
  - Artemether-lumefantrine: 1 (5%) of 20 participants had asexual stages
  - Artesunate-amodiaquine: 1 (5%) of 20 participants had asexual stages
- Measurement method: Microscopy","Baseline: 
- Artemether-lumefantrine: 31.0 gametocytes/?L (IQR 19.9-92.7)
- Artemether-lumefantrine-amodiaquine: 28.6 gametocytes/?L (IQR 11.5-130.5)
- Artemether-lumefantrine-amodiaquine plus primaquine: 42.3 gametocytes/?L (IQR 11.8-97.0)
- Artesunate-amodiaquine: 52.5 gametocytes/?L (IQR 33.6-129.0)
- Artesunate-amodiaquine plus primaquine: 24.8 gametocytes/?L (IQR 10.7-115.2)
Day 7:
- Without primaquine: 13.3 gametocytes/?L (IQR 5.6-21.0), 6.9 gametocytes/?L (IQR 1.1-49.9), 31.7 gametocytes/?L (IQR 7.3-61.6)
- With primaquine: 0.0 gametocytes/?L (IQR 0.0-0.0), 0.2 gametocytes/?L (IQR 0.0-0.9)
Prevalence:
- Baseline: 100% for all groups
- Day 28: 95% for artesunate-amodiaquine, 80% for artemether-lumefantrine, 72% for artemether-lumefantrine-amodiaquine",Not mentioned (the paper does not provide specific data on artemisinin resistance status),"Baseline: 
- Artemether–lumefantrine: 31.0 / 37.9 = 0.819 (calculated from densities, Day 0)
- Artemether–lumefantrine–amodiaquine: 28.6 / 0 = Not calculable (asexual parasite density is 0)
- Artemether–lumefantrine–amodiaquine plus primaquine: 42.3 / 0 = Not calculable (asexual parasite density is 0)
- Artesunate–amodiaquine: 52.5 / 0 = Not calculable (asexual parasite density is 0)
- Artesunate–amodiaquine plus primaquine: 24.8 / 0 = Not calculable (asexual parasite density is 0)",No,"- Baseline: 61% (61/100, microscopy)
- Day 7: 35% (7/20, artesunate-amodiaquine group)
- Day 14: 16% (3/19, artesunate-amodiaquine group)
- Day 28: 95% (18/19, artesunate-amodiaquine group); 80% (16/20, artemether-lumefantrine group); 72% (13/18, artemether-lumefantrine-amodiaquine group)","28 days; Days 2, 7, 14, 21, 28",Microscopy; RT-qPCR,"RCT, good follow-up (96%), density data available, limitations include multiple secondary outcomes and focus on high gametocyte density participants",Moderate ,10.8,"1. Study Design & Methodology- Score: 1/3 (Fair)
Single-arm prospective study with no control group
Clear methodology for artemisinin tolerance assessment
Well-defined primary outcomes (day 3 parasitemia, ex vivo RSA)
Limitation: No comparison group for resistance analysis
2. Sample Size & Power- Score: 2/3 (Good)
Sample size: 115 participants (moderate size)
Adequate for basic tolerance assessment
Some stratification possible for RSA analysis (90 successful assays)
Limitation: No formal power calculation provided
3. Representativeness- Score: 1/3 (Fair)
Convenience sampling from 3 health facilities
Limited to Greater Accra Region only
Clear inclusion/exclusion criteria
Limitation: Geographically restricted, potential selection bias
4. Parasitological Methods- Score: 3/3 (Excellent)
Resistance Assessment: Novel K13 mutations (K188*) and Pfcoronin (V424I) identified via sWGS
Gametocyte Detection: Not primary focus, but standard microscopy used
Quality Control: Multiple validation methods (RSA, IC50 assays, molecular markers)
Innovative Methods: Ex vivo ring-stage survival assay (RSA) with 700nM DHA threshold
5. Follow-up & Attrition- Score: 2/3 (Good)
Follow-up rate: 73.9% (85/115) to day 3
Appropriate duration for artemisinin clearance assessment
Clear documentation of losses
Limitation: <80% follow-up rate
6. Confounding Control- Score: 2/3 (Good)
Age, parasitemia, clinical characteristics controlled
Appropriate statistical methods
Multiple resistance markers analysed
Some limitations: Single-arm design limits confounding control                                                                                   "
No Clinical or Molecular Evidence of Plasmodium falciparum Resistance to Artesunate-Mefloquine in Northwestern Brazil,Ladeia-Andrade 2016,Brazil,"Juruá Valley, Cruzeiro do Sul (urban, high transmission)",November 2010 - February 2013,ASMQ (Artesunate-Mefloquine) 3 days,162 (154 completed 42-day follow-up),26.6 years (4-73 years),"92:70 (56.8% male, 43.2% female)","Baseline: 4,581.2 parasites/?L mean (range 250-62,069, microscopy); 
Baseline: 4,700.1 parasites/?L mean (range 10-53,500, qPCR)","Prevalence: 35.2% Day 0, 23.6% Day 3 (microscopy)",0% K13 mutations associated with resistance; 43.6% K189T mutation (not associated with resistance); fully sensitive population,"Not calculable (prevalence data only, no densities provided)",No,"- Baseline: 35.2% (57/162, microscopy)
- Peak: 46.3% (microscopy)
- Day 3: 23.6% (microscopy)
- Day 42: 0% (microscopy)","42 days; Days 0,1,2,3,7,14,21,28,35,42",Microscopy + qPCR; Microscopy,"Single-arm trial, good follow-up (95.1%), density data available, monoinfections confirmed by microscopy and qPCR",Good,15,"1. Study Design & Methodology- Score: 2/3 (Good)
Well-designed single-arm efficacy trial following WHO/PAHO protocols
Clear primary endpoint (ACPR) and secondary endpoints defined
Appropriate for efficacy assessment in low-resistance setting
Limitation: Single-arm design limits resistance comparison capabilities
2. Sample Size & Power- Score: 3/3 (Excellent)
Sample size: 162 participants (exceeded target of 101)
Formal power calculation provided (98% ACPR, ?=5%, 20% dropout)
Adequate for primary efficacy assessment
Sufficient for stratified molecular analysis
3. Representativeness- Score: 2/3 (Good)
Enrolled from 11 health centers in main P. falciparum transmission hotspot
Urban area focus limits rural generalizability
Clear inclusion/exclusion criteria
Representative of local clinical population (low parasitemias common)
4. Parasitological Methods- Score: 3/3 (Excellent)
Resistance Assessment: Comprehensive molecular analysis:
pfmdr1 copy number analysis (99.4% of samples); Full-length K13 gene sequencing (86.4% of samples); No resistance markers detected
Detection Methods: Dual microscopy + qPCR confirmation
Quality Control: Expert microscopist review, qPCR validation
Innovative: Day 3 residual parasitemia assessment
5. Follow-up & Attrition- Score: 3/3 (Excellent)
Follow-up rate: 95.1% (154/162) over 42 days
Excellent retention with clear documentation of withdrawals
Appropriate duration for efficacy assessment
Home visits ensuring good compliance
6. Confounding Control- Score: 2/3 (Good)
Age, gender, parasitemia stratification
Correlation analysis between variables
Appropriate statistical methods
Limitation: Single-arm design inherently limits confounding control                                                                                                                                                                                                                                                                                                               "
Single dose primaquine to reduce gametocyte carriage and Plasmodium falciparum transmission in Cambodia: An open-label randomized trial,Lin 2017,Cambodia,"Oddar Meanchey Province, Anlong Veng District Hospital, low transmission, seasonal transmission",December 2012 - February 2014,Dihydroartemisinin-Piperaquine (40mg and 320mg per tablet) for 3 days; Dihydroartemisinin-Piperaquine (40mg and 320mg per tablet) for 3 days + Primaquine (45mg) single dose,"107 (101 completed randomization, with follow-up numbers: 101 at day 0, 100 at day 3, 96 at day 7, 90 at day 14)",18-65 years (adults),"98 males, 3 females (97% male, 3% female)","- Baseline: 14,962 parasites/?L (95% CI 10,185–21,978, microscopy); 17,218 parasites/?L (95% CI 6,389–43,451, microscopy)","- Baseline: 9% prevalence (microscopy), 46% prevalence (RT-PCR)
- Day 7: 2.1% prevalence (DHP + PQ), 15% prevalence (DHP-only)",High-grade DHP failure; slow-clearing parasites; increased gametocyte prevalence post-treatment,"Not calculable (prevalence data only, no densities provided)",No,"- Baseline: 9% (9/101, microscopy); 46% (46/101, RT-PCR)
- Day 7: 2.1% (DHP + PQ), 15% (DHP-only)
- Day 14: 0% (DHP + PQ)","42 days; Days 0, 3, 7, 14, 42",Microscopy; RT-PCR (Pfs25),"RCT, early termination due to poor DHP efficacy, low infectiousness rate, not powered for transmission-blocking efficacy, conducted in ACT-resistant area",Good,14.7,"1. Study Design & Methodology- Score: 3/3 (Excellent)
Well-designed randomized controlled trial with proper methodology
Open-label design appropriate for intervention study
Clear primary endpoint (transmission-blocking efficacy)
Strength: RCT design with randomization and mosquito infectivity endpoints
2. Sample Size & Power- Score: 2/3 (Good)
Sample size: 107 participants (moderate size)
Important limitation: Study not powered for transmission-blocking efficacy
Originally designed for DHP efficacy assessment (target 150 evaluable subjects)
Early termination due to poor DHP efficacy reduced power
3. Representativeness- Score: 2/3 (Good)
Recruited from district hospital in malaria-endemic area
Adults only (18-65 years) - excludes children
Bias: 97% male participants (98/101) - severe gender imbalance
Representative of local clinical population but limited generalizability
4. Parasitological Methods- Score: 3/3 (Excellent)
Resistance Context: High-grade DHP failure documented
Gametocyte Detection: Dual methods (microscopy + RT-PCR Pfs25)
Transmission Assessment: Direct membrane feeding assays with Anopheles dirus
Quality Control: Multiple validation methods, molecular confirmation
Innovation: First Asian study using mosquito infectivity endpoints
5. Follow-up & Attrition- Score: 2/3 (Good)
Follow-up rates: Variable (101 at day 0, 90 at day 14)
Duration: 42 days (appropriate for gametocyte assessment)
Early termination: Study halted due to poor DHP efficacy
Clear documentation of withdrawals and reasons
6. Confounding Control- Score: 2/3 (Good)
Baseline characteristics balanced between arms
G6PD screening and exclusion of severe deficiency
Appropriate statistical methods
Limitation: Unblinded design, though appropriate for intervention"
"Therapeutic efficacy and safety of artemether-lumefantrine combination therapy for the treatment of uncomplicated Plasmodium falciparum malaria at Teda Health Centre, Northwest Ethiopia, 2022/23",Woldesenbet 2024,Ethiopia,"Amhara National Regional State, Teda Health Centre, Northwest Ethiopia (urban/semi-urban, high transmission)",September 2022 - February 2023,"Artemether-Lumefantrine (A/L 20 mg/120 mg), dosing based on weight: 6 tablets for 6-15 kg, 12 tablets for 16-24 kg, 18 tablets for 25-34 kg, 24 tablets for ?35 kg; Primaquine 0.25 mg/kg single dose",88 (67 completed follow-up),6 months to 70 years,"61.4% male, 38.6% female","Baseline: 7,402 parasites/?L geometric mean (microscopy); Day 0: 6,374 parasites/?L median (range 1,213-96,661, microscopy); Day 1: 508 parasites/?L; Day 2: 243 parasites/?L; Day 3: 124 parasites/?L; Day 3: 97% cleared (microscopy)","Prevalence: 6.8% Day 0, 4/6 on Day 1, 0% on Day 2 (microscopy)","- Molecular markers: K13 mutation R622I expanding in Ethiopia, but not linked with delayed clearance.
- Phenotypic resistance: Recrudescence in 2 study participants.
- Population resistance prevalence: Not specified.
- Individual patient resistance status: Not detailed.","Not calculable (prevalence data only, no densities provided)",No,"- Baseline: 6.8% (6/88, microscopy)
- Day 1: 4/88 (microscopy)
- Day 2: 0% (microscopy)","28 days; Days 0, 1, 2, 3, 7, 14, 21, 28",Microscopy; Microscopy,"Single-arm observational study, high loss to follow-up, single genotyping marker, potential errors in haemoglobin measurement, robust statistical analysis, detailed demographic and parasitological data, reinfection/recrudescence distinguished by molecular techniques",Poor,7.8,"1. Study Design & Methodology- Score: 1/3 (Fair)
Single-arm observational study following WHO 2009 guidelines
Clear methodology for therapeutic efficacy assessment
Well-defined primary outcomes (ACPR, parasite/fever clearance)
Major limitation: No control group, observational design limits causal inference
2. Sample Size & Power- Score: 1/3 (Fair)
Sample size: 88 participants (calculated for 5% failure rate)
Sample size calculation provided with appropriate assumptions
Significant limitation: High loss to follow-up (23.9%) affects power
Adequate for basic efficacy assessment but limited for resistance analysis
3. Representativeness- Score: 1/3 (Fair)
Convenience sampling from single health centre
Limited to Teda subcity (population 20,000)
Clear inclusion/exclusion criteria following WHO guidelines
Major limitation: Single-site study with restricted generalizability
4. Parasitological Methods- Score: 2/3 (Good)
Resistance Context: K13 R622I mutation documented but not linked to delayed clearance
Gametocyte Assessment: Standard microscopy (6.8% baseline prevalence)
Quality Control: Multiple microscopists, expert review for discordant results
Molecular genotyping: msp2 analysis for recrudescence vs reinfection
Limitation: Only single molecular marker used
5. Follow-up & Attrition- Score: 1/3 (Fair)
Follow-up rate: 76.1% (67/88) - below acceptable threshold
Duration: 28 days (appropriate for efficacy assessment)
High attrition: 21 participants lost to follow-up
Clear documentation of withdrawals and reasons
6. Confounding Control- Score: 2/3 (Good)
Age, gender, parasitemia, clinical characteristics documented
Appropriate statistical methods (Kaplan-Meier, per-protocol analysis)
WHO Excel spreadsheet used for standardized analysis
Limitation: Single-arm design inherently limits confounding control"
"The transmission blocking activity of artemisinin-combination, non-artemisinin, and 8aminoquinoline antimalarial therapies: a pooled analysis of individual participant data",Vanheer 2024,Mali,"Ouélessébougou, Mali, transmission context not explicitly mentioned",January 2013 - January 2023,"- Dihydroartemisinin-piperaquine (DHA-PPQ)
- Pyronaridine-artesunate (PY-AS)
- Artemether-lumefantrine (AL)
- Artesunate-amodiaquine (AS-AQ)
- Sulfadoxine-pyrimethamine plus amodiaquine (SP-AQ)
- ACTs plus single low-dose primaquine (ACT-PQ; 0.25 or 0.5 mg/kg)
- Non-ACT (SP-AQ) plus single low-dose primaquine (Non-ACT-PQ)
- ACT (DHA-PPQ) plus single low dose of tafenoquine (ACT-TQ; 0.83 or 1.66 mg/kg)",422 (no specific follow-up numbers mentioned),5-50 years,Not reported (the paper does not provide specific gender distribution or percentages for the study participants),Not mentioned (the paper does not provide specific data on asexual parasite density),"Baseline: Median 55 gametocytes/?L (IQR 32-112), microscopy
Prevalence: 99.5% Day 0, microscopy","Not mentioned (the paper does not provide specific data on artemisinin resistance status, including molecular markers or phenotypic resistance)","Not calculable (prevalence data only, no densities provided)",No,"- Baseline: 99.5% (420/422, microscopy); 100% (molecular methods)
- Day 7: 51.12% reduction in AL group; 68.31% reduction in non-ACT-PQ group; 90.52% reduction in ACT-PQ group; 61.53% reduction in ACT-TQ group","Variable; Days 0, 2, 7, 14, 21, 28","Microscopy; RT-qPCR (Pfs25, CCP4, PfMGET)","Pooled analysis of six clinical trials, good follow-up, density data available, focused on highly infectious individuals, used direct membrane feeding assays, limitations include potential reduced infectivity due to assay method",,,
"Artemether-Lumefantrine Efficacy for the Treatment of Uncomplicated Plasmodium falciparum Malaria in Choco, Colombia after 8 Years as First-Line Treatment",Olivera 2019,Colombia,"Choco, Quibdo, ongoing malaria transmission",July 2018 - February 2019,"Artemether-Lumefantrine (AL), 3-day course, dosing based on participant weight, administered twice daily for three consecutive days",88 (84 completed follow-up),27.5 years (5-65 years),"63.6% male, 36.4% female","Peak: Not explicitly mentioned; Baseline: 3,527 parasites/?L geometric mean (microscopy); Day 1: 118 parasites/?L (microscopy); Day 2: 30 parasites/?L (microscopy); Day 3: cleared (microscopy)","Prevalence: 12.5% Day 0, 19.3% Day 1, 20.9% Day 2, 18.6% Day 3, 14.3% Day 7, 6.0% Day 14, 2.4% Day 21, 1.2% Day 28 (microscopy)",0% K13 mutations; 0% delayed parasite clearance; fully sensitive population,"Not calculable (prevalence data only, no densities provided)",No,"- Baseline: 12.5% (11/88, microscopy)
- Peak: 20.9% (18/88, microscopy)
- Day 3: 18.6% (16/88, microscopy)
- Day 7: 14.3% (12/88, microscopy)
- Day 14: 6.0% (5/88, microscopy)
- Day 21: 2.4% (2/88, microscopy)
- Day 28: 1.2% (1/88, microscopy)","28 days; Days 0, 1, 2, 3, 7, 14, 21, 28",Microscopy; Microscopy,"Single-arm TES, good follow-up (95.5%), high inter-microscopist agreement (100%), limitations include lack of generalizability and potential selection bias",,,
Artesunate/Amodiaquine Versus Artemether/ Lumefantrine for the Treatment of Uncomplicated Malaria in Uganda: A Randomized Trial,Yeka 2016,Uganda,"- Northern Region, Apac District, Aduku Health Center (perennial transmission, previously very high but decreased)
- Central Region, Mubende District, Mubende Health Center (perennial transmission, moderate)
- Western Region, Kanungu District, Kihihi Health Center (perennial transmission, moderate)",May 2013 - June 2014,Artemether-Lumefantrine vs Artesunate-Amodiaquine,602 (594 completed 28-day follow-up),6-59 months (children only),"Not reported (the paper does not provide a direct gender distribution or ratio in the text, and while it references a table that likely contains this information, the table is not quoted here)","- Apac: 21,616 parasites/?L geometric mean (range 2,200–333,280, microscopy)
- Mubende: 35,153 parasites/?L geometric mean (range 2,710–193,780, microscopy)
- Kanungu: 14,264 parasites/?L geometric mean (range 2,020–189,500, microscopy)","- Baseline prevalence: 
  - Apac: 18.0% (AL), 14.0% (AS/AQ)
  - Mubende: 2.9% (AL), 11.0% (AS/AQ)
  - Kanungu: 7.0% (AL), 5.0% (AS/AQ)
- Detection method: Microscopy","Not mentioned (the paper does not provide specific data on artemisinin resistance status, including molecular markers or phenotypic resistance)","Not calculable (prevalence data only, no densities provided)",Yes,"- Baseline: Apac: 18.0%, Mubende: 2.9%, Kanungu: 7.0% (microscopy)","28 days; Days 0,1,2,3,7,14,21,28",Microscopy; Microscopy,"Multi-site RCT, good follow-up (98.7%), monoinfections, limited follow-up period (28 days), genotyping limitations",,,
Therapeutic efficacy of artemetherlumefantrine against uncomplicated Plasmodium falciparum malaria in a hightransmission area in northwest Ethiopia,Teklemariam 2015,Ethiopia,"Northwest Ethiopia, Setit Humera, seasonal transmission (mesoendemic)",October 2014 - January 2015,"Artemether-Lumefantrine, 6 doses over 3 days, twice daily",92 (79 completed 28-day follow-up),15.13 years (2-28 years),"57 males, 35 females (61.9% male, 38.1% female)","Baseline: 27,798 parasites/?L (SD: 35,942, microscopy); 
Day 1: 2,864 parasites/?L; 
Day 2: 84 parasites/?L; 
Day 3: 0 parasites/?L","- Baseline: 7.6% prevalence, range 48-2224 gametocytes/?L, Day 0, microscopy
- Prevalence: 1% Day 3, complete clearance by Day 14, microscopy",0% K13 mutations; no phenotypic resistance (delayed parasite clearance or recrudescence) observed; fully sensitive population,"Not calculable (prevalence data only, no densities provided)",No,"- Baseline: 7.6% (7/92, microscopy)
- Day 3: 1%
- Day 7: 1%
- Day 14: 1%
- Day 21: 0%","28 days; Days 3, 7, 14, 21, 28",Microscopy; Microscopy,"Single-arm prospective study, good follow-up (86.9%), monoinfections with P. falciparum, limitation: no PCR correction for recrudescence/reinfection",,,
Significant Efficacy of a Single Low Dose of Primaquine Compared to Stand-Alone Artemisinin Combination Therapy in Reducing Gametocyte Carriage in Cambodian Patients with Uncomplicated Multidrug-Resistant Plasmodium falciparum Malaria,Vantaux 2020,Cambodia,"Rattanakiri Province, Banlung, high transmission with multidrug resistance",2015-2016,Dihydroartemisinin-Piperaquine (DP) 3 days vs Dihydroartemisinin-Piperaquine (DP) + Single Low Dose Primaquine (SLDPQ) 0.25 mg/kg on day 1,109 (102 completed follow-up),1+ years (no upper limit specified),"88 males, 21 females (80.7% male, 19.3% female)","Baseline: 16 asexual parasites/?L (Day 0, microscopy)","Baseline: 64 (250, 0–1,432) gametocytes/?L for DP; 40 (149, 0–787) gametocytes/?L for DP-SLDPQ; Prevalence: 43.1% Day 0 (TaqMan RT-PCR)",63% K13 mutations; 28% recrudescence rate,"Not calculable (prevalence data only, no densities provided)",Yes,"- Baseline: 43.1% (47/109, TaqMan RT-PCR)
- Peak: Not explicitly mentioned, but likely on day 14
- Post-treatment: Lowest on day 7, but specific percentages not provided
- Resistance-stratified: Higher in recrudescent infections, but specific percentages not provided","28 days; Days 0, 1, 2, 3, 7, 14, 21, 28",PCR; TaqMan RT-PCR,"RCT, good follow-up (93.6%), density data available, limitations in assessing transmission-blocking efficacy due to low infectivity rates",,,
"Triple artemisinin-based combination therapies versus artemisinin-based combination therapies for uncomplicated Plasmodium falciparum malaria: a multicentre, open-label, randomised clinical trial",Van Der Pluijm 2020,"Multi-country (Cambodia, Thailand, Vietnam, Myanmar, Laos, Bangladesh, India, Democratic Republic of the Congo)","- Cambodia: Four sites (rural/urban, high resistance)
- Thailand: Three sites (rural/urban, high resistance)
- Myanmar: Four sites (rural/urban, high resistance)
- India: Three sites (rural/urban, variable resistance)
- Laos: One site (rural/urban, variable resistance)
- Vietnam: One site (rural/urban, high resistance)
- Bangladesh: One site (rural/urban, variable resistance)
- Democratic Republic of the Congo: One site (rural/urban, variable resistance)",Not mentioned (the paper does not provide specific enrollment or study conduct dates),"- Dihydroartemisinin-Piperaquine vs. Dihydroartemisinin-Piperaquine plus Mefloquine
- Artemether-Lumefantrine vs. Artemether-Lumefantrine plus Amodiaquine
- Dosing: Amodiaquine 10 mg base per kg per day (split dose), Mefloquine 8 mg/kg per day","1100 enrolled (completed follow-up not explicitly stated, but implied for efficacy analysis)",2-65 years,"77.6% male, 22.4% female","- Dihydroartemisinin–piperaquine group: 26,035 parasites/?L geometric mean (microscopy)
- Dihydroartemisinin–piperaquine plus mefloquine group: 18,776 parasites/?L geometric mean (microscopy)
- Artesunate–mefloquine group: 14,179 parasites/?L geometric mean (microscopy)
- Artemether–lumefantrine group: 40,278 parasites/?L geometric mean (microscopy)
- Artemether–lumefantrine plus amodiaquine group: 45,396 parasites/?L geometric mean (microscopy)",Not mentioned (gametocyte density data is not included in the paper and will be reported separately),"- Molecular markers: C580Y dominant in Cambodia, eastern Thailand, Vietnam, and Laos; 37% Pfkelch13 mutations in Pyin Oo Lwin, Myanmar; 11% Pfkelch13 mutations in Midnapur, India.
- Phenotypic resistance: Extended parasite clearance half-lives (>5 hours) in Cambodia, Vietnam, and Thailand.
- Population resistance prevalence: Multidrug-resistant parasites spread across Cambodia, northeast Thailand, southern Laos, and southern Vietnam.","Not calculable (prevalence data only, no densities provided)",Yes,"Not mentioned (the paper does not include data on gametocyte carriage rates, as these are to be reported separately)","42 days; Days 0, 1, 2, 3, 7, 14, 21, 28, 35, 42",Microscopy; Not mentioned,"Multi-site RCT, open-label, good follow-up, efficacy data available, limitations include potential underpowering and underrepresentation of children, unblinded design",,,
